"2025-04-01";"1926.3030044112";"1820.3503595705"
"2025-04-02";"1951.1803047187";"1782.7602229877"
"2025-04-03";"1844.0711051529";"1751.3808810832"
"2025-04-04";"1833.956836174";"1760.5885995426"
"2025-04-05";"1826.2985962634";"1767.5135896962"
"2025-04-06";"1815.574834001";"1539.4380136682"
"2025-04-07";"1634.0411747919";"1415.3734803131"
"2025-04-08";"1617.339825299";"1447.6101233218"
"2025-04-09";"1687.1880398805";"1386.7993127909"
"2025-04-10";"1669.3941751424";"1474.9141400078"
"2025-04-11";"1587.5385750578";"1505.0019526192"
"2025-04-12";"1666.0175736076";"1546.8195207785"
"2025-04-13";"1648.2867346548";"1564.8388218276"
"2025-04-14";"1689.8575457287";"1596.0865089923"
"2025-04-15";"1659.8361925272";"1585.2290824207"
"2025-04-16";"1610.7820977191";"1540.0337718236"
"2025-04-17";"1615.3068384679";"1564.1957394894"
"2025-04-18";"1599.4168202893";"1573.9039144175"
"2025-04-19";"1629.0515194549";"1585.4729851869"
"2025-04-20";"1618.4367653849";"1566.6915243639"
"2025-04-21";"1656.1195756454";"1566.1475149166"
"2025-04-22";"1773.6392019981";"1542.0003234914"
"2025-04-23";"1829.709977089";"1746.9240125515"
"2025-04-24";"1801.6914146029";"1724.7407800218"
"2025-04-25";"1826.6960807747";"1740.3318919899"
"2025-04-26";"1839.3630104067";"1781.4738771609"
"2025-04-27";"1856.443870277";"1785.902085681"
"2025-04-28";"1827.48228733";"1747.7268073738"
"2025-04-29";"1842.0331133691";"1782.2812586047"
"2025-04-30";"1816.6899379324";"1736.1429703484"
